Tarjeta,Nombre,Tipo,Fecha,Moneda,Importe,No. de cuota
**** 7008,REDUC. IVA LEY 17934,,11/10/2025,Pesos,"-84,10",
**** 7008,DISCO N? 22,Comun,11/10/2025,Pesos,"4.423,14",
**** 7008,KINKO,Comun,11/10/2025,Pesos,"102,00",
**** 7008,KINKO,Comun,12/10/2025,Pesos,"99,00",
**** 7008,KINKO,Comun,12/10/2025,Pesos,"164,00",
**** 7016,STARBUCKS COFFEE,Comun,12/10/2025,Pesos,"395,25",
**** 7016,REDUC. IVA LEY 17934,,12/10/2025,Pesos,"-29,16",
**** 7008,KINKO,Comun,13/10/25,Pesos,"89,00",
**** 7008,GRANJA EL VAIVEN I,Comun,13/10/25,Pesos,"616,00",
**** 7016,LA MOLIENDA CONVENCI,Comun,13/10/25,Pesos,"731,25",
**** 7008,DISA,Comun,14/10/25,Pesos,"2.488,40",
**** 7008,FRUTERIA EL REPECHO,Comun,14/10/25,Pesos,"578,00",
**** 7008,SUPER CHIBERTA,Comun,14/10/25,Pesos,"421,00",
**** 7008,TELEPEAJE,Comun,14/10/25,Pesos,"156,00",
**** 7016,MINISO,Comun,14/10/25,Pesos,"488,00",
**** 7016,BAS BASIC & SIMPLE,Comun,16/10/25,Pesos,"3.018,00",
**** 7008,ANCAP CYNEL SA,Comun,17/10/25,Pesos,"2.320,00",
**** 7008,GYM EL COLISEO,Comun,17/10/25,Pesos,"1.000,00",
**** 7008,ZARA PUNTA CARRETAS,Plan Pagos,17/10/25,Pesos,"3.645,00",02-Jan
**** 7008,BAR PAYSANDU,Comun,17/10/25,Pesos,"1.518,00",
**** 7008,REDUC. IVA LEY 17934,,17/10/25,Pesos,"-101,80",
**** 7008,TELEPEAJE,Comun,17/10/25,Pesos,"156,00",
**** 7008,SUPER COOPERATIVA PO,Comun,18/10/25,Pesos,"1.275,00",
**** 7008,ANCAP LAS PIEDRAS,Comun,18/10/25,Pesos,"2.630,00",
**** 7008,SUPERMERCADO EXPRES,Comun,19/10/25,Pesos,"476,86",
**** 7016,JUMBO COSTANERA CENT,Comun,19/10/25,Dólares,"16,31",
**** 7016,DUTY FREE SHOP URUGU,Comun,19/10/25,Dólares,"43,50",
**** 7008,ESTILO DETAILING,Comun,21/10/25,Pesos,"1.290,00",
**** 7008,GRANJA EL VAIVEN I,Comun,21/10/25,Pesos,"224,00",
**** 7016,RIPLEY COSTANERA CEN,Comun,21/10/25,Dólares,"11,22",
**** 7016,KIKO MILANO,Comun,21/10/25,Dólares,"15,70",
**** 7008,CRAMI,Comun,22/10/25,Pesos,"1.723,00",
**** 7008,MERCADITO EL POPULAR,Comun,22/10/25,Pesos,"295,00",
**** 7008,PEDIDOSYA*Don Pincho,Comun,24/10/25,Pesos,"950,00",
**** 7008,REDUC. IVA LEY 17934,,24/10/25,Pesos,"-70,08",
**** 7008,PedidosYa Costo de,Comun,24/10/25,Pesos,"59,00",
**** 7016,DUTY FREE SALIDAS,Comun,24/10/25,Dólares,"23,72",
**** 7016,JUAN VALDEZ AEROPUER,Comun,24/10/25,Dólares,"16,75",
**** 7008,DISCO N? 17,Comun,25/10/25,Pesos,"3.180,69",
**** 7008,ANCAP ESTACION RUTA,Comun,25/10/25,Pesos,"1.400,00",
**** 7008,PEDIDOSYA*PROPINA,Comun,25/10/25,Pesos,"40,00",
**** 7008,PURO VERSO,Comun,25/10/25,Pesos,"2.108,00",
**** 7016,VETERIANRIA EL RASTR,Comun,25/10/25,Pesos,"3.770,00",
**** 7016,WIKIMUSCULOS 18 DE J,Comun,25/10/25,Pesos,"1.862,00",
**** 7016,LA MOLIENDA CONVENCI,Comun,25/10/25,Pesos,"1.131,34",
**** 7008,Seguro de vida sobre,,26/10/25,Dólares,"0,44",
**** 7008,Seguro de vida sobre,,26/10/25,Pesos,"275,47",
**** 7008,KINKO,Comun,26/10/25,Pesos,"301,00",
**** 7016,FARMACIA EL TUNEL 5,Comun,27/10/25,Pesos,"2.642,00",
